Labels,Sentence
1,年夜饭常常有鱼，但是在北部，人们也喜欢吃饺子。在南部，人们喜欢吃年糕。
1,去年的黄金周，我跟我的朋友们一起去南京。我的最好的朋友让我参加旅行，因为我们有三天的周末。
1,介绍一下云南省和云南省的几个旅游景点。
1,这个城市吸引了很多人，特别是年轻的人，因为城市有教育和工作机会，外国客人和很多好玩的事情。
1,要是你去上海，一定会看见到处都有建筑工人在修马路，大桥和高楼。
1,我们的时间在南京很短，但是我想又去为了做很多活动。
1,我没参加过旅游团，所以我不知道。
1,我觉得秦朝给我留下的印象很深，因为秦始皇当中国第一皇帝。
1,差不多4点30早上 我们去火车站。
1,我们的课都完了以后，为了准备旅行，我们回宿舍。
1,我爱你。
1,我很累。
1,今天我有一个考试。
1,他不是我的朋友。
1,我不认识他。
1,我很高兴认识你。
1,新年快乐！
1,我的头疼，我肚子也疼，恐怕我生病了。
1,日本在中国的东边。
1,上海是中国的城市。
1,可以慢慢说的吗？
1,我看不懂。
1,我不会说英文，只会说中文。
1,我是个大学生。
1,他有很多的粉丝，因为他是有名的偶像。
1,我们的老师教他们这么理财。
1,有没有孩子？
1,你多大？
1,找男女朋友的时候，你有什么标准？
1,他非常喜欢旅行，今年他已经去过巴黎，纽约，北京，东京，伦敦，什么的。
1,我想请你吃饭。
1,学中文不是那么难，其实比较容易。
1,你的爱，你的笑， 给我无限动力。
1,我要宠着你。
1,想打倒我?
1,从不曾回头。
1,我先睡觉了。
1,你上午都做了什么？
1,你的心在上海哦？
1,今天你怎么样？
1,我喜欢短头发的女孩。
1,但是我的头发比较短哈哈要是我想很长的头发，就加头发。
1,你看起来好迷人。
1,你太客气了！
1,我今天很好，你呢？
1,我觉得你真的很美啊。
1,现在我有点累，因为比较晚。
1,你中文好棒啊。
1,我今天就正常的工作日。
1,你有没有一些计划？
1,看你喜欢我如何称呼你。
1,在上海读书一年半，现在我的课都在上网。
1,你在上海上大学？
1,你什么时候来上海？
1,我想交流语言和文化。
1,你我皆凡人，孤独是常态。
1,在喝点吗？
1,不管同学们怎样笑她，她一点也不感到慌乱。
1,那些参观的人走了以后的事情，她用那已经开始在褪着色的青手捧着眼泪。
1,我也不和她并床。
0,不我知道。
0,认识我她。
0,把我杯子桌子上。
0,时候什么点 。
0,被功课 是他的狗，所以他没做完。
0,椅子上有一个人。
0,他我爱。
0,我一年半主在了。
0,天气小星期吗吗。
0,热我上说对不起。
0,今天菜写吗杯子。
0,多少米饭对不起做怎么？
0,朋友都说冷不客气。
0,电影人学校去今天。
0,北京怎么样她他喜欢。
0,再见几漂亮小电影。
0,在四看见猫杯子。
0,猫什么名字谁给它吗。
0,四点来这买？
0,爸爸年小姐同学爸爸。
0,些看多少谁很。
0,请坐同学少跟。
0,想工作请一点儿工作
0,五 次我们写呢他！
0,号怎么样前面家?
0,她喜欢没关系学生。
0,杯子谁桌子上吗。